date,series,adjusted_close
2022-12-01,ORCL,78.00825500488281
2023-01-01,ORCL,84.73802947998047
2023-02-01,ORCL,83.7226333618164
2023-03-01,ORCL,89.01036834716797
2023-04-01,ORCL,91.11458587646484
2023-05-01,ORCL,101.90752410888672
2023-06-01,ORCL,114.55696868896484
2023-07-01,ORCL,113.16352081298828
2023-08-01,ORCL,116.21391296386719
2023-09-01,ORCL,102.24583435058594
2023-10-01,ORCL,100.17850494384766
2023-11-01,ORCL,112.58940124511719
2023-12-01,ORCL,102.145263671875
2024-01-01,ORCL,108.63924407958984
2024-02-01,ORCL,108.61980438232422
2024-03-01,ORCL,122.1680908203125
2024-04-01,ORCL,110.99009704589844
2024-05-01,ORCL,114.34663391113281
2024-06-01,ORCL,137.77406311035156
2024-07-01,ORCL,136.45071411132812
2024-08-01,ORCL,138.25112915039062
2024-09-01,ORCL,166.7350311279297
2024-10-01,ORCL,164.59939575195312
2024-11-01,ORCL,181.2711639404297
2024-12-01,ORCL,163.4225616455078
2025-01-01,ORCL,167.1864471435547
2025-02-01,ORCL,163.2540283203125
2025-03-01,ORCL,137.44757080078125
2025-04-01,ORCL,138.83917236328125
2025-05-01,ORCL,163.3175811767578
2025-06-01,ORCL,215.70785522460938
2025-07-01,ORCL,250.91021728515625
2025-08-01,ORCL,223.58169555664062
2025-09-01,ORCL,278.07061767578125
2025-10-01,ORCL,260.1011657714844
2025-11-01,ORCL,200.0206756591797
2025-12-01,ORCL,193.04794311523438
2026-01-01,ORCL,163.43858337402344
2026-02-01,ORCL,144.3916015625
2026-03-01,ORCL,146.08975219726562
2026-04-01,ORCL,160.83047485351562
2026-05-01,ORCL,224.9972381591797
2026-06-01,ORCL,146.04193115234375
2026-07-01,ORCL,129.8699951171875
2026-08-01,ORCL,151.56500244140625
2016-09-01,GOOG,38.52483367919922
2016-10-01,GOOG,38.88417434692383
2016-11-01,GOOG,37.570743560791016
2016-12-01,GOOG,38.253726959228516
2017-01-01,GOOG,39.49131774902344
2017-02-01,GOOG,40.80077362060547
2017-03-01,GOOG,41.115501403808594
2017-04-01,GOOG,44.90211486816406
2017-05-01,GOOG,47.821372985839844
2017-06-01,GOOG,45.03939437866211
2017-07-01,GOOG,46.118385314941406
2017-08-01,GOOG,46.5560302734375
2017-09-01,GOOG,47.53638458251953
2017-10-01,GOOG,50.38774490356445
2017-11-01,GOOG,50.6241569519043
2017-12-01,GOOG,51.86273956298828
2018-01-01,GOOG,57.98575973510742
2018-02-01,GOOG,54.753746032714844
2018-03-01,GOOG,51.13862228393555
2018-04-01,GOOG,50.42194747924805
2018-05-01,GOOG,53.77537536621094
2018-06-01,GOOG,55.294979095458984
2018-07-01,GOOG,60.331077575683594
2018-08-01,GOOG,60.37717056274414
2018-09-01,GOOG,59.1519775390625
2018-10-01,GOOG,53.36796951293945
2018-11-01,GOOG,54.243255615234375
2018-12-01,GOOG,51.32795333862305
2019-01-01,GOOG,55.33066940307617
2019-02-01,GOOG,55.50661087036133
2019-03-01,GOOG,58.15278244018555
2019-04-01,GOOG,58.90465545654297
2019-05-01,GOOG,54.69923400878906
2019-06-01,GOOG,53.57316207885742
2019-07-01,GOOG,60.30232620239258
2019-08-01,GOOG,58.88581848144531
2019-09-01,GOOG,60.417320251464844
2019-10-01,GOOG,62.454856872558594
2019-11-01,GOOG,64.6777572631836
2019-12-01,GOOG,66.2667465209961
2020-01-01,GOOG,71.08476257324219
2020-02-01,GOOG,66.3812484741211
2020-03-01,GOOG,57.63237380981445
2020-04-01,GOOG,66.84366607666016
2020-05-01,GOOG,70.82158660888672
2020-06-01,GOOG,70.06278228759766
2020-07-01,GOOG,73.49996948242188
2020-08-01,GOOG,80.9948959350586
2020-09-01,GOOG,72.83780670166016
2020-10-01,GOOG,80.34214782714844
2020-11-01,GOOG,87.26759338378906
2020-12-01,GOOG,86.82845306396484
2021-01-01,GOOG,90.98481750488281
2021-02-01,GOOG,100.95292663574219
2021-03-01,GOOG,102.52755737304688
2021-04-01,GOOG,119.45281982421875
2021-05-01,GOOG,119.5241928100586
2021-06-01,GOOG,124.22077941894531
2021-07-01,GOOG,134.0391845703125
2021-08-01,GOOG,144.19073486328125
2021-09-01,GOOG,132.1007843017578
2021-10-01,GOOG,146.97463989257812
2021-11-01,GOOG,141.2069854736328
2021-12-01,GOOG,143.41505432128906
2022-01-01,GOOG,134.51254272460938
2022-02-01,GOOG,133.71212768554688
2022-03-01,GOOG,138.4290008544922
2022-04-01,GOOG,113.96173095703125
2022-05-01,GOOG,113.04235076904297
2022-06-01,GOOG,108.41661071777344
2022-07-01,GOOG,115.62059020996094
2022-08-01,GOOG,108.19607543945312
2022-09-01,GOOG,95.30968475341797
2022-10-01,GOOG,93.83271789550781
2022-11-01,GOOG,100.56336212158203
2022-12-01,GOOG,87.95453643798828
2023-01-01,GOOG,98.99718475341797
2023-02-01,GOOG,89.51080322265625
2023-03-01,GOOG,103.09107208251953
2023-04-01,GOOG,107.2741928100586
2023-05-01,GOOG,122.29179382324219
